name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.55_x20_r12,0.55,20,0,6,1.0,0.0
B1_armA_a0.55_x20_r13,0.55,20,0,2070,0.995,0.0
B1_armA_a0.55_x20_r14,0.55,20,0,382,1.0,0.0
B1_armA_a0.55_x20_r15,0.55,20,0,1569,1.0,0.0
B1_armA_a0.55_x24_r00,0.55,24,0,6,1.0,0.0
B1_armA_a0.55_x24_r01,0.55,24,0,382,1.0,0.0
B1_armA_a0.55_x24_r02,0.55,24,0,1569,1.0,0.0
B1_armA_a0.55_x24_r03,0.55,24,0,2070,1.0,0.0
B1_armA_a0.55_x24_r04,0.55,24,0,1569,1.0,0.0
B1_armA_a0.55_x24_r05,0.55,24,0,382,1.0,0.0
B1_armA_a0.55_x24_r06,0.55,24,0,2070,1.0,0.0
B1_armA_a0.55_x24_r07,0.55,24,0,6,1.0,0.0
B1_armA_a0.55_x24_r08,0.55,24,0,1569,1.0,0.0
B1_armA_a0.55_x24_r09,0.55,24,0,382,1.0,0.0
B1_armA_a0.55_x24_r10,0.55,24,0,2070,1.0,0.0
B1_armA_a0.55_x24_r11,0.55,24,0,6,1.0,0.0
B1_armA_a0.55_x24_r12,0.55,24,0,382,0.99,0.0
B1_armA_a0.55_x24_r13,0.55,24,0,6,0.995,0.0
B1_armA_a0.55_x24_r14,0.55,24,0,2070,1.0,0.0
B1_armA_a0.55_x24_r15,0.55,24,0,1569,1.0,0.0
B3_armA_a0.30_x04_r00_rho1,0.3,4,1,2070,0.0,1.0
B3_armA_a0.30_x04_r01_rho1,0.3,4,1,382,0.005,0.995
B3_armA_a0.30_x04_r02_rho1,0.3,4,1,6,0.005,0.99
B3_armA_a0.30_x04_r03_rho1,0.3,4,1,1569,0.155,0.775
